sample_id,subject_id,condition,group,A,B,C,D,E
GSM544727,Subject_1,Gaucher_Disease,Gaucher,0.17470254390305417,0.20769733384640743,0.2388042501532608,0.23684974749751392,0.19854456487358368
GSM544728,Subject_2,Gaucher_Disease,Gaucher,0.17474105595125095,0.20782872427451618,0.23878484177675774,0.23696246641865715,0.19868415750519514
GSM544729,Subject_3,Gaucher_Disease,Gaucher,0.17449920033741978,0.2074357794551279,0.2387073891403971,0.23662282279504718,0.19828686532052633
GSM544730,Subject_4,Gaucher_Disease,Gaucher,0.17484737231591496,0.20767816615028045,0.23896592677558282,0.2368475463650326,0.19853162830865947
GSM544731,Subject_1,Gaucher_Disease,Gaucher,0.17420426215835763,0.20706811011367887,0.23852490710487206,0.23631044537018925,0.19790784393719302
GSM544732,Subject_2,Gaucher_Disease,Gaucher,0.1741195939060664,0.20708518056557376,0.2384129696550159,0.23630382866347388,0.19796040440743218
GSM544733,Subject_3,Gaucher_Disease,Gaucher,0.17387656145597466,0.20683031779550387,0.2382236629054013,0.23607925468019447,0.1976764538123874
GSM544734,Subject_4,Gaucher_Disease,Gaucher,0.17367899003614262,0.2063599579152889,0.23816606406655824,0.23566638334456083,0.19715806718791712
GSM544735,Subject_5,Gaucher_Disease,Gaucher,0.17430918438621715,0.20714131335439326,0.23856289682738022,0.23636179150424919,0.19796708808769603
GSM544736,Subject_1,Gaucher_Disease,Gaucher,0.17392774957403312,0.20682579183003869,0.23830906340578487,0.23607547825108188,0.19766613433534275
GSM544737,Subject_2,Gaucher_Disease,Gaucher,0.17430304569559701,0.20711593043241608,0.23858133032858445,0.23634852078562257,0.1979570701584419
GSM544738,Subject_3,Gaucher_Disease,Gaucher,0.1736592365733109,0.2064737870108354,0.23812357250661284,0.23577356901951926,0.19731990643058045
GSM544739,Subject_4,Gaucher_Disease,Gaucher,0.17379251713374333,0.2065971890584478,0.23823172977962626,0.23588534501245695,0.1974345872336088
GSM544740,Subject_5,Gaucher_Disease,Gaucher,0.17451850858261042,0.20749539820350413,0.23870041120609586,0.23667947178195503,0.19835517283809456
