sample_id,subject_id,timepoint,day,condition,group,A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,D1,D2,E1,E2
GSM716451,Patient_1,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716454,Patient_2,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716456,Patient_3,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716459,Patient_4,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716462,Patient_5,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716465,Patient_6,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716468,Patient_7,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716472,Patient_8,Baseline,0,Wound_Healing,Baseline,0.12909444547026588,0.11742320031499687,0.13671501798972246,0.12525269026712957,0.16441206919175327,0.15507499779226047,0.15775912254609525,0.21886662212156435,0.12959299723525872,0.21309515211963442,0.13704185470937977,0.2109300522979672,0.12260880973610047,0.13487456876918838
GSM716452,Patient_1,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716457,Patient_3,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716460,Patient_4,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716463,Patient_5,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716469,Patient_7,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716473,Patient_8,Acute,0,Wound_Healing,Acute,0.14196383882612784,0.1442986564813213,0.16033805374242233,0.125972184748375,0.19070494073838692,0.1835489462351798,0.18587291829936328,0.24716066107433218,0.14038576272546724,0.24296753062398047,0.16623513406206838,0.23839933301782112,0.1470432351457406,0.1629325922592495
GSM716453,Patient_1,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716455,Patient_2,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716458,Patient_3,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716466,Patient_6,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716470,Patient_7,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716474,Patient_8,Day_3,3,Wound_Healing,Day_3,0.129851479510201,0.11880874303226911,0.1376451887704025,0.1293598091189608,0.17545026198583769,0.15746899872061057,0.1628554995734196,0.22009923730907568,0.1291185279815655,0.2137384984390295,0.1402997941420797,0.2136192073133337,0.13502702688585796,0.13794902471291423
GSM716461,Patient_4,Day_7,7,Wound_Healing,Day_7,0.12979284988121953,0.12348049709469003,0.14261789727469723,0.1271368792524819,0.17119419248986073,0.16054689399034802,0.1627785366101941,0.22762988540543838,0.12823138204383916,0.21767444954573084,0.1449248053872127,0.21607533934194997,0.13940282424483247,0.14101375106492092
GSM716464,Patient_5,Day_7,7,Wound_Healing,Day_7,0.12979284988121953,0.12348049709469003,0.14261789727469723,0.1271368792524819,0.17119419248986073,0.16054689399034802,0.1627785366101941,0.22762988540543838,0.12823138204383916,0.21767444954573084,0.1449248053872127,0.21607533934194997,0.13940282424483247,0.14101375106492092
